benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EqualDistinctCountHistogram,TPC-H 01,0,TableScan,59986052,59608678,59986052.000000,59723028.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 02,0,TableScan,2000000,39933,2000000.000000,39933.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 02,1,JoinHashLeft,8000000,31644,8000000.000000,15973.217773
TPC-H,EqualDistinctCountHistogram,TPC-H 02,2,JoinHashLeft,100000,20033,100000.000000,19999.998047
TPC-H,EqualDistinctCountHistogram,TPC-H 02,3,JoinHashLeft,100000,20033,100000.000000,19999.998047
TPC-H,EqualDistinctCountHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 03,0,JoinHashLeft,59986052,5784859,59986052.000000,8666335.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 03,1,JoinHashLeft,15000000,3000540,15000000.000000,4500489.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 03,2,TableScan,1500000,300036,1500000.000000,300036.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 04,0,TableScan,15000000,562097,15000000.000000,638184.312500
TPC-H,EqualDistinctCountHistogram,TPC-H 04,1,JoinHashLeft,59986052,2248407,59986052.000000,2552144.250000
TPC-H,EqualDistinctCountHistogram,TPC-H 05,0,JoinHashRight,1500000,1805025,1500000.000000,1796041.125000
TPC-H,EqualDistinctCountHistogram,TPC-H 05,1,TableScan,15000000,2275919,15000000.000000,2245573.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 05,2,JoinHashLeft,59986052,9103367,59986052.000000,8980203.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 05,3,JoinHashLeft,100000,19837,100000.000000,19999.998047
TPC-H,EqualDistinctCountHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 06,0,TableScan,59986052,9109641,59986052.000000,9009624.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 07,0,JoinHashLeft,100000,7943,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 07,3,JoinHashLeft,15000000,1198265,15000000.000000,899989.562500
TPC-H,EqualDistinctCountHistogram,TPC-H 07,4,JoinHashLeft,59986052,4762824,59986052.000000,2399441.500000
TPC-H,EqualDistinctCountHistogram,TPC-H 07,5,JoinHashLeft,1500000,119673,1500000.000000,59999.988281
TPC-H,EqualDistinctCountHistogram,TPC-H 08,0,JoinHashRight,25,23926,25.000000,114976.203125
TPC-H,EqualDistinctCountHistogram,TPC-H 08,1,JoinHashLeft,100000,23926,100000.000000,114976.203125
TPC-H,EqualDistinctCountHistogram,TPC-H 08,2,JoinHashLeft,1500000,299493,1500000.000000,299999.968750
TPC-H,EqualDistinctCountHistogram,TPC-H 08,3,JoinHashLeft,59986052,392561,59986052.000000,397557.562500
TPC-H,EqualDistinctCountHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 08,5,JoinHashLeft,15000000,387415,15000000.000000,397557.593750
TPC-H,EqualDistinctCountHistogram,TPC-H 08,6,TableScan,2000000,13106,2000000.000000,13255.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 08,7,TableScan,5,1,5.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,0,JoinHashLeft,15000000,3254981,15000000.000000,5998605.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,1,JoinHashLeft,8000000,434340,8000000.000000,800000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,2,JoinHashLeft,100000,100000,100000.000000,100000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,3,JoinHashRight,25,100000,25.000000,100000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,4,JoinHashLeft,59986052,3254981,59986052.000000,5998604.500000
TPC-H,EqualDistinctCountHistogram,TPC-H 09,5,TableScan,2000000,108585,2000000.000000,200000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 10,0,JoinHashLeft,1500000,1500000,1500000.000000,1500000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 10,1,JoinHashRight,25,1500000,25.000000,1500000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 10,2,TableScan,15000000,562097,15000000.000000,638184.312500
TPC-H,EqualDistinctCountHistogram,TPC-H 10,3,JoinHashLeft,59986052,2248407,59986052.000000,2552144.250000
TPC-H,EqualDistinctCountHistogram,TPC-H 11,0,JoinHashLeft,8000000,314720,8000000.000000,319999.968750
TPC-H,EqualDistinctCountHistogram,TPC-H 11,1,JoinHashLeft,100000,3934,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 12,0,JoinHashLeft,15000000,293828,15000000.000000,1269982.875000
TPC-H,EqualDistinctCountHistogram,TPC-H 12,1,TableScan,59986052,9122650,59986052.000000,8887839.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 13,0,JoinHashLeft,1500000,15338428,1500000.000000,13500001.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 13,1,TableScan,15000000,14838409,15000000.000000,13500000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 14,0,JoinHashRight,2000000,773181,2000000.000000,649346.375000
TPC-H,EqualDistinctCountHistogram,TPC-H 14,1,TableScan,59986052,773181,59986052.000000,649346.312500
TPC-H,EqualDistinctCountHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,1949144.125000
TPC-H,EqualDistinctCountHistogram,TPC-H 15,1,TableScan,59986052,2247222,59986052.000000,1949143.875000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,0,JoinHashLeft,8000000,1191024,8000000.000000,2003.137085
TPC-H,EqualDistinctCountHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,2,TableScan,2000000,39934,2000000.000000,39934.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,3,TableScan,2000000,39989,2000000.000000,39989.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,4,TableScan,2000000,40385,2000000.000000,40385.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,5,TableScan,2000000,40231,2000000.000000,40231.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,6,TableScan,2000000,39859,2000000.000000,39859.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,7,TableScan,2000000,40146,2000000.000000,40146.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,8,TableScan,2000000,40067,2000000.000000,40067.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,9,TableScan,2000000,40033,2000000.000000,40033.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 17,0,JoinHashLeft,59986052,59823,59986052.000000,59661.601562
TPC-H,EqualDistinctCountHistogram,TPC-H 17,1,TableScan,2000000,49742,2000000.000000,49742.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,0,JoinHashLeft,59986052,777,59986052.000000,59986048.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,1,JoinHashRight,1500000,111,1500000.000000,15000000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,2,JoinHashLeft,15000000,111,15000000.000000,15000000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,0,TableScan,2000000,80013,2000000.000000,80013.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,1,JoinHashLeft,59986052,144987,59986052.000000,23896.787109
TPC-H,EqualDistinctCountHistogram,TPC-H 19,2,TableScan,2000000,79812,2000000.000000,79812.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,3,TableScan,2000000,80404,2000000.000000,80404.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,0,JoinHashLeft,100000,4023,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,2,JoinHashLeft,8000000,86680,8000000.000000,80000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,3,TableScan,2000000,21670,2000000.000000,20000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,4,TableScan,59986052,9123688,59986052.000000,8975323.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,0,JoinHashLeft,59986052,7110111,59986052.000000,9595557.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,1,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,2,JoinHashLeft,100000,3974,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 21,3,JoinHashLeft,59986052,2382350,59986052.000000,2399441.500000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 22,0,JoinHashRight,15000000,63437,15000000.000000,1500000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 22,1,TableScan,1500000,681239,1500000.000000,1500000.000000
